Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-06-20,ADANIENT,EQ,142.8,142.3,149.7,140.35,148.5,148.45,145.66,4477064,65210909404999.99,27337,670439,0.1497
2019-06-21,ADANIENT,EQ,148.45,147.0,152.0,145.95,146.0,146.8,148.53,4673136,69411844425000.0,24867,917213,0.1963
2019-06-24,ADANIENT,EQ,146.8,145.9,148.8,144.6,146.6,147.75,147.09,3240654,47667023010000.0,15888,557486,0.172
2019-06-25,ADANIENT,EQ,147.75,146.5,151.95,144.85,149.5,150.85,148.36,4920288,72996356280000.0,20915,701313,0.14250000000000002
2019-06-26,ADANIENT,EQ,150.85,150.0,155.3,148.5,152.5,153.8,151.77,4779891,72546713765000.0,22805,496804,0.1039
2019-06-27,ADANIENT,EQ,153.8,152.3,154.95,151.5,152.7,152.85,153.37,2858423,43839747705000.0,15600,311424,0.10890000000000001
2019-06-28,ADANIENT,EQ,152.85,152.5,156.3,149.8,150.0,150.5,153.21,4642404,71124309350000.0,21905,674382,0.14529999999999998
2019-07-01,ADANIENT,EQ,150.5,150.65,155.6,148.05,153.95,154.1,152.49,6182608,94277691785000.0,33086,540672,0.08750000000000001
2019-07-02,ADANIENT,EQ,154.1,154.9,158.2,151.4,154.2,154.7,154.71,11741576,181656262015000.0,66615,1562165,0.133
2019-07-03,ADANIENT,EQ,154.7,156.4,157.6,154.2,154.8,155.6,155.67,5661251,88128781930000.0,33800,633265,0.1119
2019-07-04,ADANIENT,EQ,155.6,160.1,161.8,154.3,155.4,156.1,158.3,15687573,248338601390000.0,79690,2441100,0.15560000000000002
2019-07-05,ADANIENT,EQ,156.1,156.3,156.85,145.85,146.8,147.3,151.21,6607087,99907909620000.0,39721,1212906,0.18359999999999999
2019-07-08,ADANIENT,EQ,147.3,143.25,146.25,137.55,139.1,138.9,141.66,5896584,83529470075000.0,34336,645817,0.1095
2019-07-09,ADANIENT,EQ,138.9,138.05,143.2,135.75,142.1,141.15,139.82,7317997,102319214375000.0,41597,530977,0.0726
2019-07-10,ADANIENT,EQ,141.15,142.0,142.5,137.25,138.95,139.35,139.44,5548654,77372287305000.0,26350,628104,0.11320000000000001
